"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
17477,105,"IND","India",20,"Madhya Pradesh",305,"West Nimar","","Khargone;Khargaon","District","District"
17478,105,"IND","India",21,"Maharashtra",306,"Ahmednagar","","Ahmadnagar","District","District"
17479,105,"IND","India",21,"Maharashtra",307,"Akola","","","District","District"
17480,105,"IND","India",21,"Maharashtra",308,"Amravati","","Amaravati, Amraoti, Amaraoti","District","District"
17481,105,"IND","India",21,"Maharashtra",309,"Aurangabad","","","District","District"
17482,105,"IND","India",21,"Maharashtra",310,"Bhandara","","","District","District"
17483,105,"IND","India",21,"Maharashtra",311,"Bid","","Bir|Beed|Bhir|Bidh","District","District"
17484,105,"IND","India",21,"Maharashtra",312,"Buldana","","","District","District"
17485,105,"IND","India",21,"Maharashtra",313,"Chandrapur","","Chanda","District","District"
17486,105,"IND","India",21,"Maharashtra",314,"Dhule","","Dhulia, West Khandesh","District","District"
17487,105,"IND","India",21,"Maharashtra",315,"Garhchiroli","","","District","District"
17488,105,"IND","India",21,"Maharashtra",316,"Gondiya","","","District","District"
17489,105,"IND","India",21,"Maharashtra",317,"Greater Bombay","","","District","District"
17490,105,"IND","India",21,"Maharashtra",318,"Hingoli","","","District","District"
17491,105,"IND","India",21,"Maharashtra",319,"Jalgaon","","East Khandesh","District","District"
17492,105,"IND","India",21,"Maharashtra",320,"Jalna","","","District","District"
17493,105,"IND","India",21,"Maharashtra",321,"Kolhapur","","","District","District"
17494,105,"IND","India",21,"Maharashtra",322,"Latur","","Kulaba, Kolaba, Kolabad","District","District"
17495,105,"IND","India",21,"Maharashtra",323,"Nagpur","","","District","District"
17496,105,"IND","India",21,"Maharashtra",324,"Nanded","","Nander","District","District"
17497,105,"IND","India",21,"Maharashtra",325,"Nandurbar","","","District","District"
17498,105,"IND","India",21,"Maharashtra",326,"Nashik","","Nasik","District","District"
17499,105,"IND","India",21,"Maharashtra",327,"Osmanabad","","","District","District"
17500,105,"IND","India",21,"Maharashtra",328,"Parbhani","","","District","District"
17501,105,"IND","India",21,"Maharashtra",329,"Pune","","Poona","District","District"
17502,105,"IND","India",21,"Maharashtra",330,"Raigarh","","Raygad","District","District"
17503,105,"IND","India",21,"Maharashtra",331,"Ratnagiri","","","District","District"
17504,105,"IND","India",21,"Maharashtra",332,"Sangli","","South Satara","District","District"
17505,105,"IND","India",21,"Maharashtra",333,"Satara","","North Satara","District","District"
17506,105,"IND","India",21,"Maharashtra",334,"Sindhudurg","","Kudal, Sindhdurg","District","District"
17507,105,"IND","India",21,"Maharashtra",335,"Solapur","","Sholapur","District","District"
17508,105,"IND","India",21,"Maharashtra",336,"Thane","","Thana","District","District"
17509,105,"IND","India",21,"Maharashtra",337,"Wardha","","","District","District"
17510,105,"IND","India",21,"Maharashtra",338,"Washim","","","District","District"
17511,105,"IND","India",21,"Maharashtra",339,"Yavatmal","","Yeotmal","District","District"
17512,105,"IND","India",22,"Manipur",340,"Bishnupur","","Bishenpur|Sishnupur","District","District"
17513,105,"IND","India",22,"Manipur",341,"Chandel","","Tengnoupal","District","District"
